cell,dates,nums_cr,pages_table_start,line_order,title
 spots dans plafonds de revers selon descriptif marché et non encastré au sol,['06-05-2014'],"[43, 44, 46, 47]","[215, 221, 227, 233]",6,DEVRED
 transmettre plan de réservations sous-sol pour le 11/09/13 à DR et BERIM pour synthèse,['10-09-2013'],"[9, 10]","[42, 47]",10,DEVRED
 un transfo de projecteur subaquatique du bassin sportif non raccordé,['18-11-2014'],"[68, 71]","[372, 384]",13,DEVRED
 un transfo de projecteur subaquatique du bassin sportif non raccordé Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 69 251114.doc 5 Pour action Observations,['18-11-2014'],[69],[378],8,DEVRED
 voir avec DRD et BC le rebouchage des trous de fixation de chemin de câble en zone vestiaires,['10-06-2014'],[46],[227],8,DEVRED
 voir pour remonter les fourreaux en attente,['08-04-2014'],[36],[203],3,DEVRED
" voir pour remonter les fourreaux en attente. 15/04/14 : pénétration à recréer dans le local TGBT à -0,80m sous dalle haute",['08-04-2014'],"[43, 44, 46, 47, 48, 49, 50, 51, 52, 53]","[215, 221, 227, 233, 239, 245, 251, 258, 265, 273]",3,DEVRED
 vérifier la qualité des visseries de fixation des luminaires,['08-07-2014'],"[49, 50, 51]","[245, 251, 258]",8,DEVRED
 vérifier la qualité des visseries de fixation des luminaires RAPPEL,['08-07-2014'],"[52, 53, 54]","[265, 273, 281]",8,DEVRED
" à la demande de SLC, pas de bondes aspiration en paroi car buses de refoulement déjà en paroi. Prévoir d’agrandir le regard existant pour être aux dimensions nécessaires (105x105)",['31-07-2013'],[6],[27],5,MYRTHA
accord des 2 ets sur les débits de chaque équipement.,['31-07-2013'],[6],[27],6,MYRTHA
" URGENT, tracer niveau fini voirie sur façade ouest pour calage altimétrique escalier is- sue de secours",['26-08-2014'],"[56, 58]","[295, 309]",7,Ent Jean LEFEBVRE
" optimiser le dimensionnement des réseaux d’assainissement et faire balance finan- cière, en concertation avec BERIM",['21-08-2013'],"[6, 7, 8, 9]","[29, 34, 39, 44]",1,Ent Jean LEFEBVRE
 prévoir 2∅25 alimentation en eau (froide et chaude) + 2 fourreaux ∅90 électricité + 1 attente EU pour futur bu- vette selon indications portés sur plan entreprise ce jour,['15-07-2014'],"[51, 52, 53, 54, 55, 56, 57, 58, 59]","[258, 265, 274, 282, 288, 295, 302, 309, 316]",5,Ent Jean LEFEBVRE
" prévoir station de relevage pour le drain (sortie drain à -4,30). 22/10/13 : confirmer la puissance élec- trique de la station de relevage",['01-10-2013'],"[15, 16]","[77, 83]",1,Ent Jean LEFEBVRE
 réalisation à venir de la plage extérieure. Transmettre les essais de plaques. 14/10/14 : RAPPEL en at- tente rapport essais de plaque et passage caméra,['29-07-2014'],"[63, 64, 65]","[342, 348, 355]",4,Ent Jean LEFEBVRE
 solarium béton acidé refusé en l’état. 25/11/14 : constat le 02/12/14. 02/12/14 : refus confirmé en l’état actuel. 09/12/14 : refus maintenu compte tenu de l’hétérogénéité de l’état de surface et des finitions en rive Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 71 091214.doc 5 Pour action Observations,['18-11-2014'],"[71, 72, 73]","[384, 389, 395]",2,Ent Jean LEFEBVRE
" vu sur site le 19/08/13, en façade est et sud, le réseau d’assainissement sera im- planté à 5m de la façade, la Ville ayant confirmé être propriétaire du terrain correspondant",['21-08-2013'],"[6, 7, 8, 9, 10, 11]","[29, 34, 39, 44, 49, 54]",0,Ent Jean LEFEBVRE
 vérifier les divers raccordements et réseau pour raccordement EU. A valider avec,['15-07-2014'],"[50, 51, 52, 53]","[251, 258, 265, 274]",4,Ent Jean LEFEBVRE
"  Le sablage des réseaux divers est à la charge du lot VRD (CCTP article 8.1, 9.1, 10.1)",['22-07-2014'],"[51, 52, 53]","[258, 265, 274]",6,Ent Jean LEFEBVRE
" Relancer NOREADE pour la réalisation du regard EU 22/07/14 : transmettre les actes de vos sous-traitants 29/07/14 : Intervention de NOREADE prochainement pour modifier les raccordements des regards sur le réseau EU. 29/07/14 : Réalisation à venir de la plage extérieure. Transmettre les essais de plaques. 05/08/14 : Etre présent le 08/08/2014 à 9h, sur site, pour la rencontre avec ERDF. 05/08/2014 : Terminer les raccordements des EP, transmettre les essais d’étanchéité et essais de plaque, localisés dessous les plages extérieures. Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 53 050814 8 Pour action Observations",['22-07-2014'],[53],[274],7,Ent Jean LEFEBVRE
 Relancer NOREADE pour la réalisation du regard EU 22/07/14 : transmettre les actes de vos sous-traitants 29/07/14 : Intervention de NOREADE prochainement pour modifier les raccordements des regards sur le réseau EU. 29/07/14 : Réalisation à venir de la plage extérieure. Transmettre les essais de plaques. Mairie d’AUBY – Réhabilitation et extension de la piscine municipale – CR 52 290714 6 Pour action Observations,['22-07-2014'],[52],[265],7,Ent Jean LEFEBVRE
