cell,dates,nums_cr,pages_table_start,line_order,title
"diffuser plan siphon et réseaux plages extérieurs à MONTARON pour le 20/09/13
Contrôle réservations en sous sol du 18/12/13
- Locaux TE / TA :
. vérifier si robinet de puisage dans socle casiers piscine
Contrôle réservations en RDC du 22/01/14
- valider VH local TGBT dans la porte du local
- vérifier alignement des réservations dans gradins
- vérifier alignement des réservations des trappes de lignes de nage
- manque toutes les réservations pour siphons de sol et caniveaux de la zone vestiaires sanitaires plon-
gée (plan non fourni)
Contrôle réservations de serrurerie du 22/01/14
- repères 4 et 6 : piochage si nécessaire lors de la pose
- repères 5 et 18 : reprise
- repère 8, 11 et 20 : vérification avec trait de niveau
- repère 10 : calfeutrement mortier après pose si nécessaire
Contrôle réservations en R+1 du 19/02/14
- vérifier alignement réservations sur coursive
- 2 réservations 300x300 à déplacer en hauteur sur coursive bassin ludique (soufflage canons de lu-
mière)
- vérifier alignement réservations au niveau terrasse technique zone plongée",['18-09-2013'],"[49, 49, 51]","[377, 388, 406]",29,BERIM
"dû au lot VRD environ 4 450m3 en apport et environ 32 100m3 en réemploi. Dû au
lot GO 16 000m3 (estimé en phase chantier 5 000m3)",['11-09-2013'],"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 44]","[158, 165, 172, 180, 187, 195, 202, 209, 217, 225, 233, 241, 249, 257, 265, 273, 283, 292, 301, 320, 338]",13,BERIM
faire VISA sur fiche produit bâche bentonitique du bassin EP,['25-09-2013'],"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 49, 51]","[169, 177, 184, 192, 199, 207, 214, 222, 230, 238, 246, 254, 262, 270, 279, 288, 297, 306, 315, 324, 333, 342, 351, 360, 369, 378, 390, 408]",21,BERIM
"faire choix de la perforation des panneaux stratifiés dus par le lot menuiserie intérieur dans
la hall bassin sportif (∅8mm, entraxe multiple 32mm)",['08-07-2015'],"[81, 82, 83, 84, 85, 86, 87, 88, 90, 91, 92]","[708, 718, 728, 738, 748, 758, 768, 778, 798, 809, 825]",16,BERIM
"faire coupe sur bassin intermédiaire rivière à bouées en précisant le niveau haut de
ce bassin et le raccordement souhaité sur les 2 parties de rivière (amont et aval)",['15-05-2013'],"[10, 11, 12, 13, 14, 15, 16]","[67, 74, 81, 88, 95, 102, 110]",24,BERIM
"faire levé topo et définition des besoins réels pour le 25/09/13. 26/09/13 : en m3
remblais périphériques : 6400 pour 4000 marché
trottoir : 700 pour 2251 marché
voirie : 3529 pour 3651 marché
solarium : 735 pour 642 marché
espaces verts : 1210 pour 1320 marché
merlon paysager : 24600 pour 13000 marché (avec 0,20m de terre végétale et nivellement plat)
soit ≈ 37100 m3 pour 24700 m3 marché. Manque ≈ 10000m3",['11-09-2013'],"[24, 25, 26, 27, 29, 39, 40]","[172, 180, 187, 195, 209, 292, 301]",20,BERIM
"faire levé topo et définition des besoins réels pour le 25/09/13. 26/09/13 : en m3
remblais périphériques : 6400 pour 4000 marché
trottoir : 700 pour 2251 marché
voirie : 3529 pour 3651 marché
solarium : 735 pour 642 marché
espaces verts : 1210 pour 1320 marché
merlon paysager : 24600 pour 13000 marché (avec 0,20m de terre végétale et nivellement plat)
soit ≈ 37100 m3 pour 24700 m3 marché. Manque ≈ 10000m3
AVANCEMENT – PLANIFICATION
Intempéries :
26 jours
1 jour (le 03/07/13 : pluie), 1 jour (le 18/09/13 : pluie), 1 jour (le 10/10/13 : pluie), 1 jour (le 23/10/13 : vent), 1 jour
(le 25/10/13 : vent), 2 jours (les 28 et 29/10/13), 3 jours (le 04/11/13 : vent, le 05/11/13 : pluie, le 06/11/13 : pluie +
vent), 2 jours (les 07 et 08/11/13 : pluie et vent), 1 jour (le 14/11/13 : vent), 1 jour (le 19/11/13 : pluie), 1 jour (le
21/11/13 : neige), 1 jour (le 03/12/13 : gel), 1 jour (le 11/12/13 : gel), 2 jours (les 12 et 13/12/13 : gel), 1 jour (le
06/01/14 : pluie), 3 jours (les 14, 15 et 16/01/14 : pluie), 1 jour (le 20/01/14 : pluie), 1 jour (le 27/01/14 : pluie et
vent), 1 jour (le 07/02/14 : vent)
Effectif :",['11-09-2013'],"[41, 42, 43, 44]","[311, 320, 329, 338]",17,BERIM
"faire levé topo et définition des besoins réels pour le 25/09/13. 26/09/13 : en m3
remblais périphériques : 6400 pour 4000 marché
trottoir : 700 pour 2251 marché
voirie : 3529 pour 3651 marché
solarium : 735 pour 642 marché
espaces verts : 1210 pour 1320 marché
merlon paysager : 24600 pour 13000 marché (avec 0,20m de terre végétale et nivellement plat)
soit ≈ 37100 m3 pour 24700 m3 marché. Manque ≈ 10000m3
VRD
23/10/13 :
- L’entreprise a remis au BERIM ce jour le plan indice A Projet de Murs de soutènement. Il sera
complété par les coupes et détail suivants :
- Coupe AA sur le talus de l’espace vert
- Coupe BB sur le profil n°13
- Détail de la constitution du sol sous mur préfabriqué.
- Fiche technique des murs préfabriqués, accompagné de la note de calcul de dimensionnement
- L’ensemble de ses documents devra être transmis au contrôleur technique en format papier
pour visa.
- BERIM contactera le paysagiste pour un visa de ses prestations.
TCE",['11-09-2013'],"[28, 30, 31, 32, 33, 34, 35, 36, 38]","[202, 217, 225, 233, 241, 249, 257, 265, 283]",25,BERIM
"faire plan avec niveaux des remblais en pied de bâtiment dus par SOGEA (en fonc-
tion des finitions extérieures",['17-04-2013'],"[6, 7, 8, 9, 10]","[39, 46, 53, 60, 67]",7,BERIM
"faire plan de repérage des contre cloisons à réaliser dans vestiaires remise en
forme",['20-05-2015'],"[73, 75, 76]","[625, 652, 662]",20,BERIM
